filename;part;chroma_stft;rmse;spectral_centroid;spectral_bandwidth;rolloff;zero_crossing_rate;mfcc1;mfcc2;mfcc3;mfcc4;mfcc5;mfcc6;mfcc7;mfcc8;mfcc9;mfcc10;mfcc11;mfcc12;mfcc13;mfcc14;mfcc15;mfcc16;mfcc17;mfcc18;mfcc19;mfcc20;label
Death on the Balcony - Tempt Of Fate.wav;part_0;0.10579051;0.5958791;1911.0410726383163;3108.398117441698;4565.0390625;137.41015625;-296.33185;107.502396;8.65786;44.211426;10.046022;19.11772;10.379229;12.847547;7.2091236;9.016777;3.8729696;2.5155768;2.461821;2.0115528;-1.4193916;0.4709444;0.174231;2.7682471;1.8757473;2.4079936;0
Death on the Balcony - Tempt Of Fate.wav;part_1;0.117947645;0.53765255;1675.6733074581362;2476.078381048693;3294.580078125;166.22607421875;-220.74359;151.29846;-12.017017;35.03193;1.0532342;7.5929556;0.57753515;6.444978;-0.16314194;2.3019516;-1.4983754;-0.50764465;-0.23402902;0.001994729;-4.943213;-2.97048;-3.823031;-0.31243646;-0.22116446;1.8333545;0
Death on the Balcony - Tempt Of Fate.wav;part_2;0.17354661;0.57093525;2839.820643353787;3364.9987715087373;6180.029296875;202.51220703125;-166.59183;121.04199;-28.192162;48.571823;2.5098252;18.681581;1.1707575;5.625498;-2.110656;4.72192;2.6158009;3.8553436;1.538203;2.2226906;-4.301055;-1.1007268;-3.2897465;2.4453583;1.7734025;4.1867714;0
Death on the Balcony - Tempt Of Fate.wav;part_3;0.21635976;0.5933018;3471.2615745282137;3875.345685622933;7676.5869140625;195.90966796875;-121.75598;112.80032;-15.505688;55.1444;-2.3586507;16.90494;-3.2910223;8.101719;-1.0337129;0.85647136;0.805796;6.262762;5.6214137;5.8612657;-1.9387554;2.4524996;-1.4660428;1.9414675;-1.5264504;5.618912;0
Death on the Balcony - Tempt Of Fate.wav;part_4;0.18605623;0.537746;2698.868059321419;3311.665765173757;5953.9306640625;178.7900390625;-149.81216;126.8121;-20.585262;42.549885;-0.36562222;18.155346;2.2078586;7.1120195;0.37146378;2.9709754;-0.6475066;1.2759619;1.7937446;3.836597;-1.2492375;0.95707405;-2.7276468;1.4230777;-0.7570552;3.5954018;0
Death on the Balcony - Tempt Of Fate.wav;part_5;0.22698489;0.6221118;3443.8416132605425;3871.401137637379;7741.1865234375;179.12060546875;-121.73622;111.275635;-16.59618;51.88336;-4.4796352;21.501478;2.468235;12.578007;2.775248;5.04608;2.042601;4.2776194;3.2892327;4.887349;-1.4613287;1.2649511;-3.1130323;3.0345626;0.5168217;6.124382;0
Death on the Balcony - Tempt Of Fate.wav;part_6;0.18417154;0.51105607;2947.3026714983116;3511.8266336497372;6416.89453125;188.240234375;-115.255394;128.43796;-31.976377;42.39112;-4.858985;15.858056;-3.1652212;7.590187;-1.6646085;-2.730569;-1.9253007;0.9479246;1.9326096;5.4416995;-3.0098352;1.9623694;-4.3107824;-1.9314075;-3.0931666;3.7540205;0
Death on the Balcony - Tempt Of Fate.wav;part_7;0.123884216;0.35206115;2467.3005911051478;2742.9048806210963;4844.970703125;202.57177734375;-156.62914;140.21753;-47.52411;34.64899;-4.854678;2.3925772;-7.1764874;-0.26894242;-5.705665;-13.429642;-4.3566923;-7.7859607;-3.4968152;0.08533317;-8.446901;-4.3713884;-6.3363724;-6.919226;-3.3445182;0.08813152;0
Death on the Balcony - Tempt Of Fate.wav;part_8;0.23697692;0.60031086;3680.3670680920022;4283.711207356078;8710.1806640625;190.99853515625;-127.36368;100.49728;10.176065;58.60995;-8.077743;30.001755;-0.42246923;16.420605;0.020770773;7.318376;2.1658123;4.1749334;1.9674777;1.42138;-1.8296053;0.1889677;-2.8037047;4.47468;1.5929003;3.9952953;0
Death on the Balcony - Tempt Of Fate.wav;part_9;0.240462;0.5310054;3396.9898264475887;4010.472361584434;7902.685546875;184.595703125;-101.46956;114.509796;-12.159107;51.962826;-7.9674644;23.67825;-5.5995636;17.54538;-0.7422786;0.97844243;-1.8673089;2.7087398;3.6256955;4.6684666;-0.6559571;1.2779696;-3.0634024;0.21453625;-2.3115754;4.8878326;0
Death on the Balcony - Tempt Of Fate.wav;part_10;0.23814374;0.5976784;3669.8096993080344;4241.28963559305;8645.5810546875;192.34326171875;-121.29933;103.050415;5.4879303;60.87906;-5.646405;27.240494;-5.442972;14.635367;-2.1857264;3.7004838;1.2601467;6.09601;4.571935;3.466803;-1.1043591;1.5987387;-1.1374562;3.4338522;-0.49312526;3.5154037;0
Death on the Balcony - Tempt Of Fate.wav;part_11;0.23647459;0.53704077;3140.970605385148;3778.631017741499;7105.95703125;178.38427734375;-111.1627;120.42361;-20.484352;51.976242;-4.640594;25.261543;-10.346329;15.396784;-2.6201162;0.44298378;0.60147214;1.6567144;4.652573;3.4381151;-1.1485516;-1.0948673;-1.646827;-0.14612183;-0.54744357;4.9081564;0
Death on the Balcony - Tempt Of Fate.wav;part_12;0.12821645;0.45451277;3361.027712682961;3812.458685438012;7708.88671875;249.423828125;-129.10596;121.14331;-26.239887;37.31061;-11.748827;25.625345;-18.930012;8.510543;-8.599342;-3.26032;-4.081608;-0.88659894;0.30512768;-1.462239;-3.9886227;-4.7308607;-4.304145;-3.31431;-2.5058208;2.586935;0
Death on the Balcony - Tempt Of Fate.wav;part_13;0.068145946;0.39965755;2949.2353738711145;3336.550736695677;5749.365234375;382.0087890625;-232.41696;120.88169;-36.547276;23.530685;-2.795791;6.2317734;-15.347812;-3.443993;-15.606056;-9.28537;-9.310947;-3.3875163;-5.178703;-4.627805;-8.487154;-5.8706656;-4.7464395;-4.185291;-2.7833211;1.0526721;0
Detlef - Kinky Tail.wav;part_0;0.06187188;0.5218964;3978.066142271687;3120.3258940548853;6739.892578125;448.84716796875;-191.76935;62.686356;-87.55144;8.846327;-21.160896;-1.1821426;-10.954662;-1.6172898;-9.550142;-5.2294354;-5.067889;-3.1766925;-5.9293995;-9.416954;-7.1534433;-6.7765465;-7.0885606;-6.9098773;-6.9039145;-4.29517;1
Detlef - Kinky Tail.wav;part_1;0.12080387;0.6730052;3649.6666876751883;3373.627153793438;6869.091796875;407.8173828125;-172.57518;76.145004;-63.505127;25.736237;-13.149567;20.2524;-2.6262314;15.78954;1.1312733;6.5238786;5.5087605;5.990095;6.6387644;-0.15576544;4.665736;-0.6040773;1.6669481;1.141827;-1.4566808;1.342057;1
Detlef - Kinky Tail.wav;part_2;0.23061806;0.7496315;2803.1258617241365;3428.5666168548205;5964.697265625;188.3974609375;-148.87158;99.55649;-41.75403;42.882797;2.44022;33.43192;10.862812;27.761984;12.529495;15.735886;13.349489;11.467926;9.894966;2.9162297;5.136828;0.3899089;0.92815804;0.413592;-2.3940387;0.6079587;1
Detlef - Kinky Tail.wav;part_3;0.14668587;0.65745366;5153.296645355844;3667.316890456696;9194.677734375;542.5048828125;-63.34412;75.075;-68.12942;50.246937;-39.48513;25.088963;-19.784239;9.831002;-8.970797;-2.9309678;-3.4586565;-4.373682;-5.406553;-13.229347;-8.141103;-16.729624;-10.403769;-13.353569;-11.504904;-11.273151;1
Detlef - Kinky Tail.wav;part_4;0.24845569;0.76204884;3084.819541801071;3544.416216351945;7256.689453125;229.21826171875;-110.28339;94.9987;-47.736115;48.897346;-0.65072834;37.937515;11.947519;29.718773;10.49346;16.633831;10.7652855;13.83667;10.109294;5.5524783;5.119244;2.5686293;1.097266;2.3321018;0.08395767;3.0039716;1
Detlef - Kinky Tail.wav;part_5;0.24354865;0.77682483;2723.772455291073;3615.5191256011703;6007.763671875;172.08154296875;-136.49901;101.67053;-39.843605;44.817207;6.015651;36.485214;13.108236;30.408163;11.859774;17.501272;12.561733;14.9618225;10.130472;5.3171983;5.390091;2.5563529;0.8233176;3.034246;1.1010152;4.147318;1
Detlef - Kinky Tail.wav;part_6;0.12428083;0.56595457;3721.2345212774303;3769.411721617535;7795.01953125;345.73828125;-112.33561;106.58381;-62.24386;32.61572;-19.340012;22.20791;-9.28536;16.255886;-5.4427934;7.4104576;0.29285482;5.8195095;-2.0431569;-5.8027906;-7.022892;-10.516499;-12.757079;-9.664949;-12.051559;-8.065521;1
Detlef - Kinky Tail.wav;part_7;0.1870005;0.589797;4915.76558633501;3665.5109905675627;8979.345703125;491.50390625;-39.645256;83.569565;-67.15622;52.737854;-36.534126;31.540932;-13.9228;13.036127;-3.3727815;1.0102;1.1858876;-2.4008622;-4.294192;-12.960234;-4.5615478;-9.135495;-2.0630188;-10.10818;-11.784031;-11.363035;1
Detlef - Kinky Tail.wav;part_8;0.24243712;0.7200684;3196.0914111569555;3442.0950847860377;7428.955078125;267.27197265625;-102.38042;87.78739;-53.62171;50.690163;-8.130799;33.818752;7.6404047;26.515144;9.484454;13.503936;9.142279;9.700071;9.073761;2.7343206;5.006694;0.6207372;2.2866602;-0.2388969;-2.842841;-0.45863444;1
Detlef - Kinky Tail.wav;part_9;0.2448551;0.78823876;2281.7014009513423;3291.326950464212;5361.767578125;137.9375;-153.87242;103.4151;-40.73295;46.629997;9.288306;38.775192;15.950151;31.237492;17.3847;18.604214;16.18755;13.941752;12.019903;4.798944;6.6335287;2.4082408;2.9740286;2.2784994;0.08253145;2.5698085;1
Detlef - Kinky Tail.wav;part_10;0.24286135;0.77400565;2400.886991390131;3289.694702022212;5426.3671875;152.0966796875;-148.67958;104.74277;-40.980576;44.779755;6.971735;35.806282;13.437119;29.323307;14.707424;17.012653;14.512472;12.649067;10.767687;4.0030255;6.263035;2.0351372;2.639272;1.9815645;-0.37817436;2.2048542;1
Detlef - Kinky Tail.wav;part_11;0.10104729;0.6567142;3128.7933620017216;2990.1997920104227;5813.96484375;327.78076171875;-186.03926;85.48941;-66.59247;26.460041;-3.0451965;17.730392;5.745971;14.841015;7.0234003;9.845009;8.689821;9.609297;6.7684526;2.4668672;4.684282;3.2590585;3.5637162;2.4391909;1.8587387;2.9398768;1
Detlef - Kinky Tail.wav;part_12;0.04689231;0.50361997;3754.862195801659;3055.9189083805118;6416.89453125;426.83154296875;-227.60774;95.59518;-97.80109;14.130314;-27.579742;9.34684;-17.863611;7.5208416;-12.832254;1.0801015;-5.764164;0.37481487;-5.5327435;-6.157737;-6.590851;-6.5246277;-3.8395126;-5.328228;-5.3148365;-3.6138737;1
