;Unnamed: 0;grupo;filename;part;amplitude_envelope;chroma_stft;rmse;spectral_centroid;spectral_bandwidth;rolloff;zero_crossing_rate;mfcc1;mfcc2;mfcc3;mfcc4;mfcc5;mfcc6;mfcc7;mfcc8;mfcc9;mfcc10;mfcc11;mfcc12;mfcc13;mfcc14;mfcc15;mfcc16;mfcc17;mfcc18;mfcc19;mfcc20;label;rmse_norm;spectral_centroid_norm;ratio;rank;parts_per_song
5;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_5;0.8226166;0.24272954;0.3899615;4207.524443242565;4478.295691934132;9054.7119140625;50.853271484375;-148.09566;95.006615;-3.490886;53.50926;-0.19463275;25.392082;2.6951144;4.7432623;-0.96045643;8.722736;5.4902897;7.2998767;3.495391;1.6508216;-3.930225;-0.3099972;-3.0639892;6.1562815;4.3941584;6.7489266;0;0.7457482243480851;0.9035262010375501;1.2115700333412;11.0;28.0
10;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_10;0.8411102;0.24640936;0.39420065;3998.448896069448;4457.31286316263;8812.46337890625;41.504150390625;-139.98683;106.066826;2.3238642;53.27912;-3.9274225;22.934835;3.718046;7.916555;0.6775859;6.984704;2.4709203;5.060139;2.8756783;2.826933;-2.1763144;0.77113855;-2.447684;5.1845856;0.9940261;3.922777;0;0.7627446619582706;0.7821646380644398;1.0254606516108684;16.0;28.0
11;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_11;0.8415222;0.24210276;0.3860394;4025.679258262812;4327.109369279881;8766.705322265625;46.1959228515625;-120.85133;105.99785;-17.793715;52.391216;1.4729086;18.015602;0.94078594;12.897068;3.072166;5.3757443;2.2417889;3.555911;2.3109248;3.8048716;-3.768484;-1.2171508;-4.319954;2.9046705;1.4316732;7.051538;0;0.7300229662300872;0.7979709786948636;1.0930765408870173;14.0;28.0
13;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_13;0.8646698;0.2534051;0.31286156;3645.708455246842;4134.865231305532;8083.026123046875;40.4779052734375;-98.891266;121.94511;-21.480953;44.139793;-3.6445882;18.504654;-1.5771166;9.320908;-0.37606815;-0.57744855;-2.0428464;0.8530425;2.7921307;6.76787;-0.6906731;2.171145;-4.362479;-1.164069;-2.7070975;5.233914;0;0.43662391405968615;0.5774102715166919;1.3224430749749552;9.0;28.0
16;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_16;0.86413574;0.24865714;0.3983853;4044.216596391804;4508.110461318597;9544.59228515625;47.5694580078125;-144.41716;88.99829;2.7054327;61.429493;-0.08038917;36.525955;-1.2223027;14.262849;0.9193949;8.837532;5.2045655;4.053259;2.6298783;0.06798351;-1.6836834;-1.1404972;-0.9841613;5.7785487;3.5404675;3.872742;0;0.7795225874021602;0.8087313012630152;1.037470003221069;15.0;28.0
17;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_17;0.89268494;0.25134403;0.3866854;4373.724612487358;4676.396427077581;9916.0400390625;49.1290283203125;-139.67082;86.21912;13.324302;65.253555;-6.6012735;29.009464;0.47962156;14.782905;0.3543259;8.323708;4.169072;4.211115;1.9891433;1.0769506;-1.5683804;-0.10668743;-2.4060977;5.1678705;2.3576152;4.302932;0;0.7326130370452697;1.0;1.3649770744363752;7.0;28.0
18;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_18;0.90159607;0.26020983;0.32368544;3998.0175740165246;4488.775763033278;9259.27734375;42.15771484375;-97.80485;111.73113;-5.496882;45.21182;-9.62387;26.643103;-4.0310845;16.528603;-0.7239066;1.823378;-2.7686825;2.4852319;4.1429477;5.1062555;1.2669182;1.1861438;-3.8201873;0.41126552;-2.1367095;3.9295301;0;0.48002115197769746;0.7819142696249196;1.6289162808834903;5.0;28.0
19;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_19;0.8875885;0.26106057;0.31485873;4000.8392377717655;4420.199089529519;9100.469970703123;44.2518310546875;-93.028435;111.711464;-9.400342;51.2265;-7.4028;21.970358;-6.364097;17.027838;-1.5522681;0.7913107;-2.954247;1.4345967;4.1264176;5.628311;0.8802355;2.2268114;-2.1301248;-0.0033989286;-2.9187288;4.525738;0;0.4446313625580725;0.7835521537684779;1.7622512034700195;4.0;28.0
20;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_20;0.86927795;0.25297505;0.3087726;3950.5835583187177;4484.270379010903;9334.6435546875;44.625732421875;-114.00802;105.20414;-0.44363874;54.358425;-7.9213495;24.73948;-4.663855;13.260927;-2.7331448;2.7939577;1.7649753;5.0036883;4.516288;2.1629677;-2.9882674;-0.51828766;-2.878224;2.2308583;-0.7468025;3.8928785;0;0.42022964786704264;0.7543803644838737;1.7951621650516045;3.0;28.0
21;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_21;0.8772507;0.2508543;0.41320747;4281.761539972031;4619.204973133912;9746.466064453123;49.9127197265625;-131.74321;89.73292;7.4254994;65.394104;-3.6394715;27.133766;-4.880674;12.351664;-2.3337169;5.4343734;3.5903633;6.8554525;5.137058;3.0320017;-0.52780145;1.9288784;-0.73995656;4.1613827;0.29609334;3.744317;0;0.8389505594372538;0.9466184239755769;1.1283363641959354;13.0;28.0
