new_filename	filename	part	section	cluster
Death on the Balcony - Tempt Of Fate.wav_part_5_0	Death on the Balcony - Tempt Of Fate.wav	part_5	0	2
Death on the Balcony - Tempt Of Fate.wav_part_5_1	Death on the Balcony - Tempt Of Fate.wav	part_5	1	2
Death on the Balcony - Tempt Of Fate.wav_part_5_2	Death on the Balcony - Tempt Of Fate.wav	part_5	2	2
Death on the Balcony - Tempt Of Fate.wav_part_5_3	Death on the Balcony - Tempt Of Fate.wav	part_5	3	2
Death on the Balcony - Tempt Of Fate.wav_part_5_4	Death on the Balcony - Tempt Of Fate.wav	part_5	4	1
Death on the Balcony - Tempt Of Fate.wav_part_5_5	Death on the Balcony - Tempt Of Fate.wav	part_5	5	1
Death on the Balcony - Tempt Of Fate.wav_part_5_6	Death on the Balcony - Tempt Of Fate.wav	part_5	6	2
Death on the Balcony - Tempt Of Fate.wav_part_5_7	Death on the Balcony - Tempt Of Fate.wav	part_5	7	0
Death on the Balcony - Tempt Of Fate.wav_part_5_8	Death on the Balcony - Tempt Of Fate.wav	part_5	8	1
Death on the Balcony - Tempt Of Fate.wav_part_5_9	Death on the Balcony - Tempt Of Fate.wav	part_5	9	2
Death on the Balcony - Tempt Of Fate.wav_part_5_10	Death on the Balcony - Tempt Of Fate.wav	part_5	10	1
Death on the Balcony - Tempt Of Fate.wav_part_5_11	Death on the Balcony - Tempt Of Fate.wav	part_5	11	1
Death on the Balcony - Tempt Of Fate.wav_part_5_12	Death on the Balcony - Tempt Of Fate.wav	part_5	12	1
Death on the Balcony - Tempt Of Fate.wav_part_5_13	Death on the Balcony - Tempt Of Fate.wav	part_5	13	2
Death on the Balcony - Tempt Of Fate.wav_part_5_14	Death on the Balcony - Tempt Of Fate.wav	part_5	14	1
Death on the Balcony - Tempt Of Fate.wav_part_5_15	Death on the Balcony - Tempt Of Fate.wav	part_5	15	2
Death on the Balcony - Tempt Of Fate.wav_part_10_0	Death on the Balcony - Tempt Of Fate.wav	part_10	0	1
Death on the Balcony - Tempt Of Fate.wav_part_10_1	Death on the Balcony - Tempt Of Fate.wav	part_10	1	1
Death on the Balcony - Tempt Of Fate.wav_part_10_2	Death on the Balcony - Tempt Of Fate.wav	part_10	2	1
Death on the Balcony - Tempt Of Fate.wav_part_10_3	Death on the Balcony - Tempt Of Fate.wav	part_10	3	2
Death on the Balcony - Tempt Of Fate.wav_part_10_4	Death on the Balcony - Tempt Of Fate.wav	part_10	4	2
Death on the Balcony - Tempt Of Fate.wav_part_10_5	Death on the Balcony - Tempt Of Fate.wav	part_10	5	2
Death on the Balcony - Tempt Of Fate.wav_part_10_6	Death on the Balcony - Tempt Of Fate.wav	part_10	6	2
Death on the Balcony - Tempt Of Fate.wav_part_10_7	Death on the Balcony - Tempt Of Fate.wav	part_10	7	0
Death on the Balcony - Tempt Of Fate.wav_part_10_8	Death on the Balcony - Tempt Of Fate.wav	part_10	8	0
Death on the Balcony - Tempt Of Fate.wav_part_10_9	Death on the Balcony - Tempt Of Fate.wav	part_10	9	2
Death on the Balcony - Tempt Of Fate.wav_part_10_10	Death on the Balcony - Tempt Of Fate.wav	part_10	10	2
Death on the Balcony - Tempt Of Fate.wav_part_10_11	Death on the Balcony - Tempt Of Fate.wav	part_10	11	2
Death on the Balcony - Tempt Of Fate.wav_part_10_12	Death on the Balcony - Tempt Of Fate.wav	part_10	12	2
Death on the Balcony - Tempt Of Fate.wav_part_10_13	Death on the Balcony - Tempt Of Fate.wav	part_10	13	2
Death on the Balcony - Tempt Of Fate.wav_part_10_14	Death on the Balcony - Tempt Of Fate.wav	part_10	14	2
Death on the Balcony - Tempt Of Fate.wav_part_10_15	Death on the Balcony - Tempt Of Fate.wav	part_10	15	0
Death on the Balcony - Tempt Of Fate.wav_part_11_0	Death on the Balcony - Tempt Of Fate.wav	part_11	0	2
Death on the Balcony - Tempt Of Fate.wav_part_11_1	Death on the Balcony - Tempt Of Fate.wav	part_11	1	2
Death on the Balcony - Tempt Of Fate.wav_part_11_2	Death on the Balcony - Tempt Of Fate.wav	part_11	2	2
Death on the Balcony - Tempt Of Fate.wav_part_11_3	Death on the Balcony - Tempt Of Fate.wav	part_11	3	2
Death on the Balcony - Tempt Of Fate.wav_part_11_4	Death on the Balcony - Tempt Of Fate.wav	part_11	4	2
Death on the Balcony - Tempt Of Fate.wav_part_11_5	Death on the Balcony - Tempt Of Fate.wav	part_11	5	2
Death on the Balcony - Tempt Of Fate.wav_part_11_6	Death on the Balcony - Tempt Of Fate.wav	part_11	6	2
Death on the Balcony - Tempt Of Fate.wav_part_11_7	Death on the Balcony - Tempt Of Fate.wav	part_11	7	2
Death on the Balcony - Tempt Of Fate.wav_part_11_8	Death on the Balcony - Tempt Of Fate.wav	part_11	8	2
Death on the Balcony - Tempt Of Fate.wav_part_11_9	Death on the Balcony - Tempt Of Fate.wav	part_11	9	0
Death on the Balcony - Tempt Of Fate.wav_part_11_10	Death on the Balcony - Tempt Of Fate.wav	part_11	10	2
Death on the Balcony - Tempt Of Fate.wav_part_11_11	Death on the Balcony - Tempt Of Fate.wav	part_11	11	2
Death on the Balcony - Tempt Of Fate.wav_part_11_12	Death on the Balcony - Tempt Of Fate.wav	part_11	12	2
Death on the Balcony - Tempt Of Fate.wav_part_11_13	Death on the Balcony - Tempt Of Fate.wav	part_11	13	2
Death on the Balcony - Tempt Of Fate.wav_part_11_14	Death on the Balcony - Tempt Of Fate.wav	part_11	14	2
Death on the Balcony - Tempt Of Fate.wav_part_11_15	Death on the Balcony - Tempt Of Fate.wav	part_11	15	0
Death on the Balcony - Tempt Of Fate.wav_part_13_0	Death on the Balcony - Tempt Of Fate.wav	part_13	0	2
Death on the Balcony - Tempt Of Fate.wav_part_13_1	Death on the Balcony - Tempt Of Fate.wav	part_13	1	2
Death on the Balcony - Tempt Of Fate.wav_part_13_2	Death on the Balcony - Tempt Of Fate.wav	part_13	2	2
Death on the Balcony - Tempt Of Fate.wav_part_13_3	Death on the Balcony - Tempt Of Fate.wav	part_13	3	0
Death on the Balcony - Tempt Of Fate.wav_part_13_4	Death on the Balcony - Tempt Of Fate.wav	part_13	4	2
Death on the Balcony - Tempt Of Fate.wav_part_13_5	Death on the Balcony - Tempt Of Fate.wav	part_13	5	2
Death on the Balcony - Tempt Of Fate.wav_part_13_6	Death on the Balcony - Tempt Of Fate.wav	part_13	6	2
Death on the Balcony - Tempt Of Fate.wav_part_13_7	Death on the Balcony - Tempt Of Fate.wav	part_13	7	0
Death on the Balcony - Tempt Of Fate.wav_part_13_8	Death on the Balcony - Tempt Of Fate.wav	part_13	8	0
Death on the Balcony - Tempt Of Fate.wav_part_13_9	Death on the Balcony - Tempt Of Fate.wav	part_13	9	2
Death on the Balcony - Tempt Of Fate.wav_part_13_10	Death on the Balcony - Tempt Of Fate.wav	part_13	10	2
Death on the Balcony - Tempt Of Fate.wav_part_13_11	Death on the Balcony - Tempt Of Fate.wav	part_13	11	2
Death on the Balcony - Tempt Of Fate.wav_part_13_12	Death on the Balcony - Tempt Of Fate.wav	part_13	12	2
Death on the Balcony - Tempt Of Fate.wav_part_13_13	Death on the Balcony - Tempt Of Fate.wav	part_13	13	2
Death on the Balcony - Tempt Of Fate.wav_part_13_14	Death on the Balcony - Tempt Of Fate.wav	part_13	14	0
Death on the Balcony - Tempt Of Fate.wav_part_13_15	Death on the Balcony - Tempt Of Fate.wav	part_13	15	3
Death on the Balcony - Tempt Of Fate.wav_part_16_0	Death on the Balcony - Tempt Of Fate.wav	part_16	0	2
Death on the Balcony - Tempt Of Fate.wav_part_16_1	Death on the Balcony - Tempt Of Fate.wav	part_16	1	2
Death on the Balcony - Tempt Of Fate.wav_part_16_2	Death on the Balcony - Tempt Of Fate.wav	part_16	2	1
Death on the Balcony - Tempt Of Fate.wav_part_16_3	Death on the Balcony - Tempt Of Fate.wav	part_16	3	2
Death on the Balcony - Tempt Of Fate.wav_part_16_4	Death on the Balcony - Tempt Of Fate.wav	part_16	4	2
Death on the Balcony - Tempt Of Fate.wav_part_16_5	Death on the Balcony - Tempt Of Fate.wav	part_16	5	1
Death on the Balcony - Tempt Of Fate.wav_part_16_6	Death on the Balcony - Tempt Of Fate.wav	part_16	6	2
Death on the Balcony - Tempt Of Fate.wav_part_16_7	Death on the Balcony - Tempt Of Fate.wav	part_16	7	2
Death on the Balcony - Tempt Of Fate.wav_part_16_8	Death on the Balcony - Tempt Of Fate.wav	part_16	8	1
Death on the Balcony - Tempt Of Fate.wav_part_16_9	Death on the Balcony - Tempt Of Fate.wav	part_16	9	1
Death on the Balcony - Tempt Of Fate.wav_part_16_10	Death on the Balcony - Tempt Of Fate.wav	part_16	10	1
Death on the Balcony - Tempt Of Fate.wav_part_16_11	Death on the Balcony - Tempt Of Fate.wav	part_16	11	1
Death on the Balcony - Tempt Of Fate.wav_part_16_12	Death on the Balcony - Tempt Of Fate.wav	part_16	12	2
Death on the Balcony - Tempt Of Fate.wav_part_16_13	Death on the Balcony - Tempt Of Fate.wav	part_16	13	2
Death on the Balcony - Tempt Of Fate.wav_part_16_14	Death on the Balcony - Tempt Of Fate.wav	part_16	14	2
Death on the Balcony - Tempt Of Fate.wav_part_16_15	Death on the Balcony - Tempt Of Fate.wav	part_16	15	0
Death on the Balcony - Tempt Of Fate.wav_part_17_0	Death on the Balcony - Tempt Of Fate.wav	part_17	0	1
Death on the Balcony - Tempt Of Fate.wav_part_17_1	Death on the Balcony - Tempt Of Fate.wav	part_17	1	1
Death on the Balcony - Tempt Of Fate.wav_part_17_2	Death on the Balcony - Tempt Of Fate.wav	part_17	2	1
Death on the Balcony - Tempt Of Fate.wav_part_17_3	Death on the Balcony - Tempt Of Fate.wav	part_17	3	1
Death on the Balcony - Tempt Of Fate.wav_part_17_4	Death on the Balcony - Tempt Of Fate.wav	part_17	4	2
